scenario,algorithm,avg_throughput_mbps,jitter_mbps,rebuffering_ratio,total_stalls,fairness_index,per_stream_avg_throughput_mbps
schedule/youtube-60-schedule.json:long,cubic,1.4256695307159017,1.4947386058532786,0.46740529606923326,29.576793432235718,1.0,"{""0"": 1.4402616286570615}"
schedule/youtube-60-schedule.json:long,bbr,1.423705615525654,1.5222707344351303,0.4683266314093543,29.675974130630493,1.0,"{""0"": 1.4379349220423825}"
schedule/youtube-scrub-schedule.json:long,cubic,2.0763478592414155,2.06624486830186,0.23939709485007923,14.736561298370361,1.0,"{""0"": 2.1045665005562215}"
schedule/youtube-scrub-schedule.json:long,bbr,2.0728479804504296,2.117003564191537,0.2406386750328105,14.838000059127808,1.0,"{""0"": 2.1008705698060743}"
schedule/ys-doomscroll-schedule.json:short,cubic,7.190702420960627,4.51942341077747,0.5153526468146093,21.85105609893799,0.9916033704808866,"{""1"": 3.2776339148248637, ""4"": 2.6209580806083124, ""5"": 2.8895472233032424}"
schedule/ys-doomscroll-schedule.json:short,bbr,7.418454497667185,4.364571070337086,0.5000113615575074,20.5497088432312,0.9917933910258911,"{""1"": 3.2594324643025625, ""4"": 2.614103717129137, ""5"": 2.872477303897278}"
schedule/ys-repeat-schedule.json:short,cubic,5.7932675443293515,7.3656891209085025,0.9887429783408469,8.821469783782959,,{}
schedule/ys-repeat-schedule.json:short,bbr,16.63617393242222,4.7914648701928515,0.9676968405672652,3.006540060043335,,{}
schedule/ys-rapid-schedule.json:short,cubic,26.728315909396002,3.377185955709698,0.8907490849640561,42.48242163658142,0.4340599687940415,"{""15"": 2.2402786429304915, ""9"": 4.221559426441243, ""18"": 52.345486871175076, ""22"": 4.206608331270961, ""21"": 3.2746849577975166, ""16"": 3.2779945453227985, ""24"": 58.224278173321636, ""25"": 42.69196484717707, ""6"": 110.30618167125331}"
schedule/ys-rapid-schedule.json:short,bbr,25.752729246037312,4.535640265820684,0.6599094684235324,32.66529417037964,0.4362721441676429,"{""15"": 2.8471086927755866, ""9"": 3.5654367742619804, ""18"": 53.74191707021254, ""21"": 3.2668182183537464, ""24"": 64.22904156037093, ""6"": 121.70523760495972, ""25"": 44.04105354944589, ""22"": 9.245899074607669, ""16"": 3.6669980815742265}"
schedule/youtube-60-schedule.json:long,cubic,1.425965146704452,1.489162026948617,0.4675003746301728,29.576677083969116,1.0,"{""0"": 1.4401559087356512}"
schedule/youtube-60-schedule.json:long,bbr,1.4237374891061778,1.5249684618757016,0.4683345688806056,29.67581272125244,1.0,"{""0"": 1.4379999786298576}"
schedule/youtube-scrub-schedule.json:long,cubic,2.0762850774103083,2.066453654953789,0.2394162935118879,14.738188743591309,1.0,"{""0"": 2.104277054535746}"
schedule/youtube-scrub-schedule.json:long,bbr,2.072882412993083,2.1238701709721206,0.2406256705776459,14.836951732635498,1.0,"{""0"": 2.1008562361458836}"
schedule/ys-doomscroll-schedule.json:short,cubic,7.139543291042038,4.464557024025417,0.51873531857517,22.152085781097412,0.9915949539784454,"{""1"": 3.2776889795840702, ""4"": 2.620622755162076, ""5"": 2.8898484840518694}"
schedule/ys-doomscroll-schedule.json:short,bbr,5.951683016992317,4.2529576720045075,0.5988404764365146,30.676837921142578,0.9940575389881484,"{""4"": 2.58433492097469, ""1"": 3.125793519159495, ""5"": 2.873357798181702}"
schedule/ys-repeat-schedule.json:short,cubic,5.85804733848928,7.364965523503826,0.988632802919981,8.722947597503662,,{}
schedule/ys-repeat-schedule.json:short,bbr,16.63245720930349,4.788982062909406,0.9677056686302434,3.00723934173584,,{}
schedule/ys-rapid-schedule.json:short,cubic,23.55748026815127,4.204832984391373,0.8332486487469141,45.0890679359436,0.40854860854784986,"{""9"": 4.709740982601513, ""15"": 3.1998663500239926, ""21"": 3.1522383432708065, ""25"": 19.17023316865974, ""18"": 53.4681879212462, ""24"": 53.54827105264194, ""6"": 109.89010206232639, ""22"": 8.580917026061163, ""16"": 3.6731312421178073}"
schedule/ys-rapid-schedule.json:short,bbr,25.595752926539785,4.225347926642448,0.464817109360292,23.149396419525146,0.44553490056487277,"{""15"": 2.4872992000045406, ""9"": 4.121983212853871, ""6"": 118.82730695787794, ""25"": 49.61177137396557, ""18"": 58.4024194156302, ""24"": 58.45093188046375, ""21"": 3.2280909829388778, ""22"": 8.338446420826486, ""16"": 3.6662450796347765}"
