Algorithm,Time,Throughput_Mbps,Retransmits,Cwnd_KB,RTT_ms
cubic,1.000295,119.82128756885375,0,1132.336,89.903
cubic,2.000217,104.86578188837123,0,1708.64,141.746
cubic,3.00021,115.34416438060954,0,2287.84,192.452
cubic,4.000152,104.86368160270449,0,2861.248,238.234
cubic,5.000256,94.3620310196484,0,3437.552,281.357
cubic,6.000246,83.8869200084115,0,4012.408,328.77
cubic,7.000309,94.36590037385496,0,4590.16,379.319
cubic,8.000213,94.38090274523273,0,5166.464,427.926
cubic,9.000315,94.36221098257529,0,5741.32,475.652
cubic,10.000209,83.8949709422359,0,6310.384,523.493
cubic,11.000202,94.37249812958963,0,6889.584,566.073
cubic,12.000224,94.3697587958983,0,7471.68,609.179
cubic,13.000199,94.37419693386289,0,8049.432,659.335
cubic,14.000171,94.37448382406457,0,8628.632,709.621
cubic,15.000452,73.37970204315712,0,9129.64,819.454
cubic,16.000963,10.480403987191547,0,9190.456,1710.579
cubic,17.000632,10.489231774103736,0,9249.824,2614.172
cubic,18.000366,10.488550117214508,0,9309.192,3518.84
cubic,19.001206,0.0,0,9368.56,4411.497
cubic,20.000835,10.489651443645075,0,9429.376,5315.317
cubic,21.000525,10.489011633018455,0,9488.744,6217.055
cubic,22.001182,0.0,0,9548.112,7120.811
cubic,23.001134,10.48626314914197,0,9607.48,7652.907
cubic,24.000719,10.490113681896151,0,8864.656,7705.975
cubic,25.000491,10.488151170157542,0,8507.0,7755.616
cubic,26.000682,10.483757882350977,0,8147.896,7802.518
cubic,27.00051,10.487564060332664,0,7790.24,7850.732
cubic,28.000272,10.488256219103508,0,7431.136,7900.53
cubic,29.000265,0.0,0,7073.48,7948.357
cubic,30.001169,10.476289810710593,0,6746.232,7839.196
cubic,31.000148,104.96477192549013,0,6950.4,586.744
cubic,32.000205,94.36646280640346,0,7347.152,611.88
cubic,33.000305,94.3624021939372,0,7729.424,657.061
cubic,34.00026,83.88985516988834,0,8074.048,685.619
cubic,35.000303,94.36777892476655,0,8376.68,713.979
cubic,36.00034,83.88298011455589,0,8631.528,775.376
cubic,37.000391,94.36702524565635,0,8858.864,771.956
cubic,38.00071,83.8593285338263,0,9044.208,815.91
cubic,39.000196,94.42036931765475,0,9200.592,809.316
cubic,40.000955,94.30026557538527,0,9328.016,800.177
cubic,41.000188,94.4442780594533,0,9427.928,804.334
cubic,42.001495,83.77658311359674,0,9503.224,816.135
cubic,43.000269,94.48768264900731,0,9556.8,820.69
cubic,44.000188,94.37948499426527,0,9593.0,826.418
cubic,45.000253,94.3657091483157,0,9616.168,831.226
bbr,1.000154,146.38910138452,0,1030.976,44.235
bbr,2.000163,94.37099625754364,0,1036.768,60.923
bbr,3.000264,94.3623122120233,0,1013.6,76.073
bbr,4.000296,83.88340008561813,0,1004.912,78.937
bbr,5.000242,94.37693652522157,0,1004.912,72.192
bbr,6.000225,94.37344315223328,0,993.328,75.544
bbr,7.0002,94.37419693386289,0,1007.808,76.528
bbr,8.00022,94.36995003785057,0,1036.768,79.764
bbr,9.000667,83.84859675631569,0,990.432,87.149
bbr,10.000208,94.41517801781626,0,1016.496,80.432
bbr,11.000235,73.398342553275,0,1007.808,48.371
bbr,12.00027,94.36853261591564,0,993.328,55.31
bbr,13.000135,94.3845823452742,0,990.432,62.718
bbr,14.000259,83.87568128920785,0,1007.808,77.015
bbr,15.000324,83.8806303540584,0,1004.912,142.935
bbr,16.001003,10.478644831314186,0,1016.496,839.723
bbr,17.000534,10.49068043282544,0,1004.912,839.876
bbr,18.000664,10.484396427342626,0,1004.912,838.807
bbr,19.000425,10.488266849173616,0,1004.912,842.992
bbr,20.000359,10.486451920654545,0,996.224,839.16
bbr,21.00022,10.487217702617794,0,5.792,838.5
bbr,22.001236,0.0,0,993.328,253.74
bbr,23.000469,10.49380867327259,0,124.528,827.834
bbr,24.000115,10.4894731894393,0,112.944,84.729
bbr,25.000546,10.481243196478454,0,112.944,78.367
bbr,26.000643,10.48474259872492,0,112.944,74.707
bbr,27.00059,10.486315654443313,0,112.944,67.232
bbr,28.000733,10.48426021454603,0,112.944,61.144
bbr,29.000357,10.48970398288274,0,112.944,60.919
bbr,30.000173,10.487689730069441,0,112.944,65.986
bbr,31.00022,41.941070092523525,0,1036.768,45.822
bbr,32.000169,94.3766552456814,0,1022.288,63.417
bbr,33.000372,94.3526851386939,0,1004.912,82.895
bbr,34.000233,94.38495932356015,0,1028.08,68.0
bbr,35.000139,83.89396574123228,0,1022.288,79.624
bbr,36.000495,94.33825945329576,0,1022.288,76.69
bbr,37.000207,94.39902783035733,0,999.12,78.11
bbr,38.000239,94.3688250963204,0,1004.912,84.047
bbr,39.000171,94.37825856151929,0,1007.808,80.897
bbr,40.000178,94.37117625466836,0,1019.392,86.377
bbr,41.00016,62.915692520386045,0,1025.184,46.092
bbr,42.000265,94.3619297908037,0,1028.08,69.14
bbr,43.000276,94.37080501135101,0,1022.288,78.491
bbr,44.000493,94.35136944131101,0,993.328,77.403
bbr,45.000404,94.38023887241343,0,996.224,74.675
