matrix,alg,bw_mbps,rtt_ms,loss_pct,loss_corr,buffer_pkts,bdp_multiplier,video_throughput_mbps,video_jitter_mbps,video_rebuf_ratio,web_avg_ttfb_s,web_plt_s,large_throughput_mbps,large_fct_s
Latency,cubic,100,50,0,0,416,1.0,62.554385471961936,10.063611011669487,0.0,0.102191,1.0230210000000002,0.012640079585686281,0.102531
Latency,cubic,100,150,0,0,1250,1.0,21.10710142424764,3.304400466399432,0.0,0.3017478,3.0186529999999996,0.00429416344990971,0.301805
Latency,cubic,100,300,0,0,2500,1.0,10.405309818783925,1.903025231120965,0.0,0.6016553,6.0176680000000005,0.002153299649258059,0.601867
Latency,cubic,100,50,0,0,833,2.0,62.59958476708896,9.811602534541272,0.0,0.1018976,1.020319,0.012701150551755228,0.102038
Latency,cubic,100,150,0,0,2500,2.0,21.109946257399763,3.3056697700797537,0.0,0.3017146,3.0183,0.00428974301261767,0.302116
Latency,cubic,100,300,0,0,5000,2.0,10.403468789598545,1.9027833796974687,0.0,0.6016763,6.018094,0.002152966974549804,0.60196
Latency,cubic,100,50,0,0,2083,5.0,62.73127165721534,9.855462978813094,0.0,0.1014673,1.015744,0.012731970409957659,0.101791
Latency,cubic,100,150,0,0,6250,5.0,21.109942176933835,3.305809728097145,0.0,0.3018077,3.0193180000000006,0.004291660733622314,0.301981
Latency,cubic,100,300,0,0,12500,5.0,10.40746850557042,1.9032561175490292,0.0,0.601585,6.016859,0.002152294784670878,0.602148
Latency,cubic,100,50,0,0,4166,10.0,62.467331565203665,9.813284178832486,0.0,0.1015633,1.016578,0.012768850310846626,0.101497
Latency,cubic,100,150,0,0,12500,10.0,21.10558336430178,3.304169389867829,0.0,0.3015384,3.0163729999999997,0.004296669086858359,0.301629
Latency,cubic,100,300,0,0,25000,10.0,10.403116229307326,1.9020049825757006,0.0,0.6016819,6.017866999999999,0.002153346160364474,0.601854
Latency,bbr,100,50,0,0,416,1.0,62.667974477996665,9.825213837349025,0.0,0.1017281,1.018433,0.012710493021978561,0.101963
Latency,bbr,100,150,0,0,1250,1.0,21.112125066535008,3.305638777530931,0.0,0.3016587,3.017704,0.004292968607667057,0.301889
Latency,bbr,100,300,0,0,2500,1.0,10.40554021098905,1.9029028201244116,0.0,0.6016998,6.018110000000001,0.002152684460641254,0.602039
Latency,bbr,100,50,0,0,833,2.0,62.587587910684476,9.813788070152503,0.0,0.1015208,1.0161319999999998,0.012752767527675277,0.101625
Latency,bbr,100,150,0,0,2500,2.0,21.106262753094477,3.304189861213496,0.0,0.3017503,3.018774,0.0042894448544865404,0.302137
Latency,bbr,100,300,0,0,5000,2.0,10.394939603030311,1.9014370836932626,0.0,0.6016584,6.0177309999999995,0.0021500488572058986,0.602777
Latency,bbr,100,50,0,0,2083,5.0,62.69831051831557,9.828729360204155,0.0,0.1018611,1.0198289999999999,0.012680025046963056,0.102208
Latency,bbr,100,150,0,0,6250,5.0,21.112282743071948,3.307203019994889,0.0,0.3016225,3.017216,0.004292058697876822,0.301953
Latency,bbr,100,300,0,0,12500,5.0,10.407137927586351,1.9039155727434458,0.0,0.6021026,6.022164,0.002153256717712364,0.601879
Latency,bbr,100,50,0,0,4166,10.0,62.68736678069821,9.841433686605251,0.0,0.1030645,1.032411,0.012660453666256373,0.102366
Latency,bbr,100,150,0,0,12500,10.0,21.073062304954327,3.2998012454561647,0.0,0.3027095,3.030641,0.004272560338376229,0.303331
Latency,bbr,100,300,0,0,25000,10.0,10.40899791413322,1.8850198091208308,0.0,0.6025595,6.026749,0.00214506676023748,0.604177
Loss_None,cubic,100,50,0,0,416,1.0,62.972990110427126,8.936280434670286,0.0,0.1044827,1.04593,0.012362401510960184,0.104834
Loss_0.001%,cubic,100,50,0.001,0,416,1.0,62.731189482016454,9.928281998599003,0.0,0.1046066,1.047167,0.011801344041960335,0.109818
Loss_1.0%,cubic,100,50,1.0,0,416,1.0,62.75033739886902,9.851279328513384,0.0,0.1018064,1.0192189999999999,0.012741107768536541,0.101718
Loss_2.0%,cubic,100,50,2.0,0,416,1.0,60.9343352031187,13.68156956705957,0.0,0.1267182,1.268254,0.012776780961018988,0.101434
