scenario,algorithm,avg_throughput_mbps,avg_bitrate_selected_mbps,jitter_mbps,rebuffering_ratio,total_stalls,fairness_index,per_stream_avg_throughput_mbps
schedules/abr_rapid-1.json:short,bbr,2.45452905440939,3.6384615384615384,12.20216003455907,0.3024337090723476,136.56361770629883,0.5056606886027669,"{""0"": 0.24941360466562573, ""1"": 2.144116987375759, ""3"": 0.388601706269202, ""5"": 1.7662997511224612, ""11"": 3.2833909293638506, ""12"": 1.2549563127297931, ""15"": 0.8334903807805428, ""17"": 2.590074045165007, ""18"": 9.48919666651216, ""19"": 5.218397790830345, ""21"": 3.8863050452226933, ""22"": 0.33012821703924655, ""23"": 5.0140968687935645, ""24"": 5.008841651885131, ""25"": 8.12600831606359, ""26"": 5.563894203021445, ""27"": 0.5175561428266964, ""28"": 0.1753941351596635, ""29"": 2.3700227939983045, ""30"": 0.21621516590300938, ""31"": 0.2693973297736072, ""32"": 0.36575947318735735}"
schedules/abr_doomscroll-2.json:short,cubic,1.7609513359832094,2.09375,2.536769529314594,0.02181975307996138,1.8039274215698242,0.32680002201407315,"{""0"": 3.518578671670766, ""1"": 1.3304513096735977, ""2"": 84053852.16, ""3"": 0.8537974453914627, ""4"": 0.558603309833578, ""5"": 63229132.8}"
schedules/abr_doomscroll-2.json:short,bbr,1.8128873995820696,2.1,2.6976118383193595,0.030402743808128397,2.505237579345703,0.26642764988383444,"{""0"": 3.517513486729108, ""1"": 1.327192583895425, ""2"": 42026926.08, ""3"": 0.8571817742315386, ""4"": 0.87177517525736, ""5"": 126458265.6}"
schedules/abr_rapid-1.json:short,cubic,3.5027898787657574,0.9354838709677419,2.403864219444339,0.352843536435663,25.35931658744812,0.49616602653878106,"{""0"": 2569011.2, ""1"": 29884416.0, ""3"": 23907532.8, ""6"": 8933867.52, ""7"": 60481863.68, ""8"": 37119590.4, ""9"": 6668943.36, ""10"": 6773800.96, ""11"": 15.435301687801784, ""12"": 4.272099640130322, ""13"": 6952058.88, ""14"": 17028840.685568, ""15"": 91477770.24, ""16"": 51443138.56, ""17"": 3.4825872324925435, ""18"": 70590136.32, ""19"": 38084280.32, ""20"": 17217617.92, ""21"": 13558087.68, ""22"": 16032727.04, ""24"": 25144852.48, ""25"": 6569328.64, ""27"": 2453667.84, ""28"": 17301504.0, ""29"": 12981370.88, ""30"": 13484687.36, ""31"": 33484526.933333334, ""32"": 11041505.28}"
schedules/abr_rapid-1.json:short,bbr,3.3596565118811426,1.0,2.2868857357726404,0.33330743593596085,24.05515217781067,0.46497180658010084,"{""0"": 5138022.4, ""1"": 9961472.0, ""3"": 23907532.8, ""6"": 8933867.52, ""7"": 60481863.68, ""8"": 13919846.4, ""9"": 13337886.72, ""10"": 13547601.92, ""11"": 7.716222712142088, ""12"": 4.82477422879116, ""13"": 6952058.88, ""14"": 17028857.462784, ""15"": 10.018945205702682, ""16"": 102886277.12, ""17"": 4.03989277605738, ""18"": 70590136.32, ""19"": 19042140.16, ""20"": 34435235.84, ""21"": 13558087.68, ""22"": 16032727.04, ""24"": 25144852.48, ""25"": 8759104.853333334, ""27"": 2453667.84, ""28"": 17301504.0, ""29"": 25962741.76, ""30"": 26969374.72, ""31"": 33484526.933333334, ""32"": 22083010.56}"
schedules/abr_doomscroll-2.json:short,cubic,4.3230686387507635,6.34375,12.258053271935502,0.0033491112052348557,0.4007713794708252,0.32826325958590324,"{""0"": 5.4861717665321645, ""1"": 2.123073080764787, ""2"": 105067298.422784, ""3"": 3.239551382340601, ""4"": 5.356112317521463, ""5"": 134888816.64}"
schedules/abr_doomscroll-2.json:short,cubic,1.312296333533091,2.28125,2.6049905302517358,0.015095201390022248,1.8040556907653809,0.23706395777958825,"{""0"": 3.5156017952031595, ""1"": 0.8693311983085239, ""2"": 28017950.72, ""3"": 0.842036360623387, ""4"": 0.8009570804858891, ""5"": 126458265.6}"
schedules/abr_doomscroll-2.json:short,bbr,3.920061986349497,6.15625,11.953800556706893,0.003345281913075115,0.40076184272766113,0.2477472534415093,"{""0"": 5.478347117620373, ""1"": 2.1259478047256537, ""2"": 105067298.422784, ""3"": 3.2556845391008697, ""4"": 3.5167660238045277, ""5"": 404666449.92}"
schedules/abr_doomscroll-2.json:short,bbr,1.28436036875179,2.125,2.575466033779608,0.021798573972993247,2.605844736099243,0.32033547784277355,"{""1"": 0.8679550177553276, ""0"": 3.5171439072240296, ""2"": 42026926.08, ""3"": 0.7515186720502512, ""4"": 0.7983043513036642, ""5"": 63229132.8}"
schedules/abr_rapid-1.json:short,cubic,2.062428981410692,2.330508474576271,2.9485437161879657,0.06343075494435675,27.6802875995636,0.48562938802483513,"{""0"": 0.9158710458507171, ""1"": 0.9264306251730989, ""3"": 23907532.8, ""5"": 39258685.44, ""6"": 17867735.04, ""7"": 10080310.613333333, ""8"": 55679385.6, ""9"": 33344716.8, ""10"": 67737976.045568, ""11"": 21.481355040501285, ""12"": 1.1750343671333563, ""13"": 34760294.4, ""14"": 42572168.822784, ""15"": 23.272188525200907, ""16"": 128607846.4, ""17"": 0.8039609718642002, ""18"": 6.786829238456893, ""19"": 4.2310131796251556, ""20"": 28696029.866666667, ""21"": 45193625.6, ""22"": 32065447.3691136, ""23"": 23610436.266666666, ""24"": 125724262.4, ""25"": 3.7892409352111134, ""26"": 50174361.6, ""27"": 12268339.2, ""28"": 8650752.0, ""29"": 64906854.4, ""30"": 67423436.8, ""31"": 100453580.8, ""32"": 55207526.4}"
schedules/abr_rapid-1.json:short,bbr,2.062315145559191,2.330508474576271,2.9118218513335266,0.0634163477376306,27.675528049468994,0.3946258076909954,"{""0"": 0.9158019878260026, ""1"": 0.9324183985809192, ""3"": 23907532.8, ""5"": 39258685.44, ""6"": 17867735.04, ""7"": 15120465.92, ""8"": 111358771.2, ""9"": 33344716.8, ""10"": 22579325.348522667, ""11"": 29.42458624499125, ""12"": 1.1904249113789553, ""13"": 69520588.8, ""14"": 85144337.645568, ""15"": 21.455806560767233, ""16"": 257215692.8, ""17"": 0.8162358741242027, ""18"": 6.626371673897387, ""19"": 3.8959680759656563, ""20"": 43044044.8, ""21"": 135580876.8, ""22"": 160327236.845568, ""23"": 3541565.44, ""24"": 62862131.2, ""25"": 3.6951761348939294, ""26"": 100348723.2, ""27"": 4089446.4, ""28"": 17301504.0, ""29"": 64906854.4, ""30"": 67423436.8, ""31"": 50226790.4, ""32"": 55207526.4}"
schedules/abr_doomscroll-2.json:short,cubic,1.9897794748494255,1.90625,2.4959066096792606,0.04586228735947714,3.4078991413116455,0.2586390700423661,"{""0"": 24.695969703894836, ""1"": 3.0628520736185565, ""2"": 84053852.16, ""3"": 1.4198436317810998, ""4"": 1.5731751128431515, ""5"": 25291653.12}"
schedules/abr_doomscroll-2.json:short,bbr,1.988889842400603,1.90625,2.5847749141707066,0.05122325149844141,3.807960033416748,0.3139323604870244,"{""1"": 2.308549834146098, ""0"": 32.17380237373982, ""2"": 42026926.08, ""3"": 1.4514384453558313, ""4"": 1.4874599523456031, ""5"": 25291653.12}"
schedules/abr_rapid-1.json:short,cubic,2.188230821726209,1.0,0.0,0.9582097955759569,4.6110076904296875,1.0,"{""32"": 22083010.56}"
schedules/abr_rapid-1.json:short,bbr,2.1882546737591597,1.0,0.0,0.9582389686322568,4.611097812652588,1.0,"{""32"": 44166021.12}"
