scenario,algorithm,avg_throughput_mbps,avg_bitrate_selected_mbps,jitter_mbps,rebuffering_ratio,total_stalls,fairness_index,per_stream_avg_throughput_mbps
schedules/abr_doomscroll-2.json:short,cubic,,,,,,,{}
schedules/abr_doomscroll-2.json:short,bbr,,,,,,,{}
schedules/abr_rapid-1.json:short,cubic,,,,,,,{}
schedules/abr_rapid-1.json:short,bbr,,,,,,,{}
schedules/abr_doomscroll-2.json:short,cubic,3.925459897991524,3.84375,3.674694223008068,0.027018699937995907,2.004896640777588,0.915711276968363,"{""1"": 2.7891807292322124, ""0"": 6.836322472113019, ""3"": 4.590298760366737, ""4"": 4.68930147865666}"
schedules/abr_doomscroll-2.json:short,bbr,4.426795635805228,4.40625,4.9580269550852405,0.027014936485656605,2.004305362701416,0.8858337932893939,"{""1"": 2.8297822991684036, ""0"": 5.952242431669556, ""3"": 3.3187183945482133, ""4"": 6.843531192711699}"
schedules/abr_rapid-1.json:short,cubic,4.2385728692528435,1.9714285714285715,3.791197497562437,0.288702327966232,24.659323692321777,0.46015378948602087,"{""0"": 7.5045339453566005, ""12"": 2.1036759897876114, ""11"": 26.000248498276886, ""17"": 2.3476934101613405, ""25"": 3.761169677922454}"
schedules/abr_rapid-1.json:short,bbr,7.805388931612533,2.7142857142857144,4.847848507279595,0.20066826527488252,17.138092279434204,0.5581813422428032,"{""0"": 9.727921221904884, ""1"": 3.538662291050504, ""11"": 24.101222000975827, ""12"": 2.0965202235021554, ""17"": 39.17684711358664, ""25"": 57.52001175286227}"
